date,temperature,weather_type
1495209600.0,19.5,ACTUAL
1495213200.0,19.1,ACTUAL
1495216800.0,19.3,ACTUAL
1495220400.0,17.5,ACTUAL
1495224000.0,16.5,ACTUAL
1495227600.0,16.5,ACTUAL
1495231200.0,16.3,ACTUAL
1495234800.0,15.7,ACTUAL
1495238400.0,15.7,ACTUAL
1495242000.0,15.3,ACTUAL
1495245600.0,15.3,ACTUAL
1495249200.0,14.7,ACTUAL
1495252800.0,15.1,ACTUAL
1495256400.0,16.3,ACTUAL
1495260000.0,16.0,ACTUAL
1495263600.0,17.0,ACTUAL
1495267200.0,17.0,ACTUAL
1495270800.0,19.0,ACTUAL
1495274400.0,18.0,ACTUAL
1495278000.0,15.0,ACTUAL
1495281600.0,15.7,ACTUAL
1495285200.0,16.3,ACTUAL
1495288800.0,17.0,ACTUAL
1495292400.0,16.1,ACTUAL
1495296000.0,16.1,ACTUAL
1495299600.0,16.1,ACTUAL
1495303200.0,16.3,ACTUAL
1495306800.0,16.3,ACTUAL
1495310400.0,15.9,ACTUAL
1495314000.0,15.5,ACTUAL
1495317600.0,15.3,ACTUAL
1495321200.0,15.1,ACTUAL
1495324800.0,15.0,ACTUAL
1495929600.0,18.3,ACTUAL
1495933200.0,18.3,ACTUAL
1495936800.0,18.3,ACTUAL
1495940400.0,18.3,ACTUAL
1495944000.0,18.3,ACTUAL
1495947600.0,18.9,ACTUAL
1495951200.0,22.0,ACTUAL
1495954800.0,24.0,ACTUAL
1495958400.0,25.0,ACTUAL
1495962000.0,27.0,ACTUAL
1495965600.0,27.0,ACTUAL
1495969200.0,28.0,ACTUAL
1495972800.0,29.0,ACTUAL
1495976400.0,29.0,ACTUAL
1495980000.0,29.0,ACTUAL
1495983600.0,28.5,ACTUAL
1495987200.0,27.9,ACTUAL
1495990800.0,27.1,ACTUAL
1495994400.0,25.5,ACTUAL
1495998000.0,24.3,ACTUAL
1496001600.0,21.3,ACTUAL
1496005200.0,19.3,ACTUAL
1496008800.0,19.3,ACTUAL
1496012400.0,18.3,ACTUAL
1496016000.0,17.9,ACTUAL
1496019600.0,17.9,ACTUAL
1496023200.0,17.3,ACTUAL
1496026800.0,17.3,ACTUAL
1496030400.0,16.3,ACTUAL
1496034000.0,17.5,ACTUAL
1496037600.0,20.3,ACTUAL
1496041200.0,23.3,ACTUAL
1496044800.0,25.5,ACTUAL
1496048400.0,26.3,ACTUAL
1496052000.0,27.2,ACTUAL
1496055600.0,28.1,ACTUAL
1496059200.0,29.1,ACTUAL
1496062800.0,29.3,ACTUAL
1496066400.0,29.3,ACTUAL
1496070000.0,30.3,ACTUAL
1496073600.0,28.7,ACTUAL
1496077200.0,27.3,ACTUAL
1496080800.0,27.3,ACTUAL
1496084400.0,24.3,ACTUAL
1496088000.0,23.3,ACTUAL
1496091600.0,21.5,ACTUAL
1496095200.0,20.9,ACTUAL
1496098800.0,20.1,ACTUAL
1496102400.0,19.5,ACTUAL
1496106000.0,18.7,ACTUAL
1496109600.0,18.5,ACTUAL
1496113200.0,18.1,ACTUAL
1496116800.0,17.7,ACTUAL
1496120400.0,18.1,ACTUAL
1496124000.0,22.0,ACTUAL
1496127600.0,24.0,ACTUAL
1496131200.0,25.0,ACTUAL
1496134800.0,27.0,ACTUAL
1496138400.0,27.0,ACTUAL
1496142000.0,28.0,ACTUAL
1496145600.0,28.0,ACTUAL
1496149200.0,28.0,ACTUAL
1496152800.0,28.0,ACTUAL
1496156400.0,29.3,ACTUAL
1496160000.0,28.5,ACTUAL
1496163600.0,27.5,ACTUAL
1496167200.0,26.5,ACTUAL
1496170800.0,25.7,ACTUAL
1496174400.0,23.3,ACTUAL
1496178000.0,22.7,ACTUAL
1496181600.0,22.3,ACTUAL
1496185200.0,21.3,ACTUAL
1496188800.0,20.5,ACTUAL
1496192400.0,20.4,ACTUAL
1496196000.0,20.3,ACTUAL
1496199600.0,20.7,ACTUAL
1496203200.0,20.7,ACTUAL
1496206800.0,21.3,ACTUAL
1496210400.0,21.0,ACTUAL
1496214000.0,23.0,ACTUAL
1496217600.0,25.0,ACTUAL
1496221200.0,25.9,ACTUAL
1496224800.0,26.0,ACTUAL
1496228400.0,26.7,ACTUAL
1496232000.0,27.3,ACTUAL
1496235600.0,27.7,ACTUAL
1496239200.0,28.0,ACTUAL
1496242800.0,28.7,ACTUAL
1496246400.0,28.3,ACTUAL
1496250000.0,27.5,ACTUAL
1496253600.0,26.7,ACTUAL
1496257200.0,25.3,ACTUAL
1496260800.0,23.7,ACTUAL
1496264400.0,23.3,ACTUAL
1496268000.0,22.1,ACTUAL
1496271600.0,21.3,ACTUAL
1496275200.0,20.5,ACTUAL
1496278800.0,20.9,ACTUAL
1496282400.0,21.3,ACTUAL
1496286000.0,20.1,ACTUAL
1496289600.0,19.3,ACTUAL
1496293200.0,20.3,ACTUAL
1496296800.0,22.0,ACTUAL
1496300400.0,22.0,ACTUAL
1496304000.0,24.0,ACTUAL
1496307600.0,26.0,ACTUAL
1496311200.0,26.0,ACTUAL
1496314800.0,26.7,ACTUAL
1496318400.0,27.3,ACTUAL
1496322000.0,28.2,ACTUAL
1496325600.0,29.0,ACTUAL
1496329200.0,29.3,ACTUAL
1496332800.0,28.7,ACTUAL
1496336400.0,27.3,ACTUAL
1496340000.0,27.3,ACTUAL
1496343600.0,25.3,ACTUAL
1496347200.0,24.7,ACTUAL
1496350800.0,22.5,ACTUAL
1496354400.0,21.3,ACTUAL
1496358000.0,20.3,ACTUAL
1496361600.0,19.8,ACTUAL
1496365200.0,19.5,ACTUAL
1496368800.0,18.9,ACTUAL
1496372400.0,18.7,ACTUAL
1496376000.0,18.5,ACTUAL
1496379600.0,19.3,ACTUAL
1496383200.0,22.0,ACTUAL
1496386800.0,24.0,ACTUAL
1496390400.0,25.0,ACTUAL
1496394000.0,26.0,ACTUAL
1496397600.0,27.0,ACTUAL
1496401200.0,28.0,ACTUAL
1496404800.0,29.0,ACTUAL
1496408400.0,29.0,ACTUAL
1496412000.0,28.0,ACTUAL
1496415600.0,29.5,ACTUAL
1496419200.0,28.3,ACTUAL
1496422800.0,27.5,ACTUAL
1496426400.0,24.9,ACTUAL
1496430000.0,22.3,ACTUAL
1496433600.0,21.3,ACTUAL
1496437200.0,21.3,ACTUAL
1496440800.0,21.3,ACTUAL
1496444400.0,21.3,ACTUAL
1496448000.0,20.3,ACTUAL
1496451600.0,20.3,ACTUAL
1496455200.0,18.3,ACTUAL
1496458800.0,18.3,ACTUAL
1496462400.0,18.3,ACTUAL
1496466000.0,20.3,ACTUAL
1496469600.0,21.0,ACTUAL
1496473200.0,23.0,ACTUAL
1496476800.0,25.0,ACTUAL
1496480400.0,27.0,ACTUAL
1496484000.0,27.0,ACTUAL
1496487600.0,28.0,ACTUAL
1496491200.0,29.0,ACTUAL
1496494800.0,30.0,ACTUAL
1496498400.0,31.0,ACTUAL
1496502000.0,29.9,ACTUAL
1496505600.0,28.3,ACTUAL
1496509200.0,28.7,ACTUAL
1496512800.0,29.1,ACTUAL
1496516400.0,26.9,ACTUAL
1496520000.0,25.5,ACTUAL
1496523600.0,23.1,ACTUAL
1496527200.0,22.7,ACTUAL
1496530800.0,22.5,ACTUAL
1496534400.0,22.1,ACTUAL
1497139200.0,18.9,ACTUAL
1497142800.0,19.3,ACTUAL
1497146400.0,18.5,ACTUAL
1497150000.0,18.5,ACTUAL
1497153600.0,17.9,ACTUAL
1497157200.0,18.9,ACTUAL
1497160800.0,22.0,ACTUAL
1497164400.0,23.0,ACTUAL
1497168000.0,26.0,ACTUAL
1497171600.0,28.0,ACTUAL
1497175200.0,28.0,ACTUAL
1497178800.0,29.0,ACTUAL
1497182400.0,30.0,ACTUAL
1497186000.0,29.0,ACTUAL
1497189600.0,30.0,ACTUAL
1497193200.0,28.3,ACTUAL
1497196800.0,27.9,ACTUAL
1497200400.0,26.7,ACTUAL
1497204000.0,26.3,ACTUAL
1497207600.0,25.1,ACTUAL
1497211200.0,22.7,ACTUAL
1497214800.0,22.3,ACTUAL
1497218400.0,22.1,ACTUAL
1497222000.0,19.3,ACTUAL
1497225600.0,19.3,ACTUAL
1497229200.0,19.3,ACTUAL
1497232800.0,19.3,ACTUAL
1497236400.0,19.3,ACTUAL
