Global report for,device,'Cisco',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Input Voltage - L1,","Input Voltage - L2,","Input Voltage - L3,","Output Voltage,","Current - L1,","Current - L2,","Current - L3,","PF - L1,","PF - L2,","PF - L3,","Power - L1,","Power - L2,","Power - L3,","Total Power [kW],","Total [kWh],","Window #2 Consumption,","Today Saved,","Today Consumption,","Yesterday Saved,","Yesterday Consumption,","Weekly Saved,","Weekly Consumption,","Last Week Saved,","Last Week Consumption,","Monthly Saved,","Monthly Consumption,","Last Month Saved,","Last Month Consumption,","Yearly Saved,","Yearly Consumption,","Last Year Saved,","Last year Consumption,","Over Load Indication,","Missing Phase Indication,","Over Temperature Indication,","Temperature - L1,","Temperature - L2,","Temperature - L3,","CPU Temperature ,","Device Mode,","Reduction Step,","Software Resets,"
01.09.2016 02:59:32,224.7,225.3,227,217,28.5,35.6,29.5,0.85,0.98,0.92,5.4,7.9,6.2,19.6,69594,39,1.9,39.2,7,893.4,28,1703,49,2131,1,39,202,7244,2719,69599,0,0,0,0,0,55,55,55,45,2,5,14
01.09.2016 02:59:02,224.7,226.5,226.7,217,28.5,30.4,29.5,0.85,0.98,0.92,5.4,6.8,6.2,18.5,69593,39,1.9,39,7,893.4,28,1703,49,2131,1,39,202,7244,2719,69598,0,0,0,0,0,55,55,55,45,2,5,14
01.09.2016 02:58:31,225.2,225.7,226.7,217,23.3,33.9,29.6,0.8,0.98,0.92,4.2,7.5,6.2,17.9,69593,38,1.9,38.8,7,893.4,28,1702,49,2131,1,38,202,7244,2719,69598,0,0,0,0,0,55,55,55,45,2,5,14
01.09.2016 02:58:00,225.4,225.6,226.5,217,22.8,34,29.5,0.8,0.98,0.92,4.1,7.5,6.2,17.9,69593,38,1.9,38.7,7,893.4,28,1702,49,2131,1,38,202,7244,2719,69598,0,0,0,0,0,55,55,55,45,2,5,14
01.09.2016 02:57:30,225.4,225.6,226.6,217,22.8,33.8,29.6,0.8,0.98,0.93,4.1,7.5,6.2,17.8,69593,38,1.9,38.5,7,893.4,28,1702,49,2131,1,38,202,7244,2719,69598,0,0,0,0,0,55,55,55,45,2,5,14
01.09.2016 02:56:59,224.5,225.8,226.6,217,31.3,33.1,27.9,0.9,0.98,0.92,6.3,7.3,5.8,19.5,69593,38,1.8,38.4,7,893.4,28,1702,49,2131,1,38,202,7244,2719,69598,0,0,0,0,0,55,55,54,45,2,5,14
01.09.2016 02:56:28,224.5,226.3,226,217,31.3,29,33,0.9,0.97,0.93,6.3,6.4,6.9,19.7,69593,38,1.8,38.2,7,893.4,28,1702,49,2131,1,38,202,7244,2719,69598,0,0,0,0,0,55,55,54,45,2,5,14
01.09.2016 02:55:57,224.6,226.4,226.3,217,31.2,29,32.8,0.9,0.97,0.93,6.3,6.4,6.9,19.7,69592,38,1.8,38,7,893.4,28,1702,49,2131,1,38,202,7244,2719,69597,0,0,0,0,0,55,55,54,45,2,5,14
01.09.2016 02:55:27,224.2,226.5,226.4,216,36.5,30.9,33.1,0.92,0.98,0.93,7.5,5.7,6.9,20.3,69592,37,1.8,37.9,7,893.4,28,1701,49,2131,1,37,202,7244,2719,69597,0,0,0,0,0,55,55,54,45,2,5,14
01.09.2016 02:54:56,224.2,226.5,226.5,216,36.9,30.8,33.2,0.92,0.98,0.93,7.6,6.8,7,21.5,69592,37,1.8,37.7,7,893.4,27,1701,49,2131,1,37,202,7244,2719,69597,0,0,0,0,0,55,55,54,45,2,5,14
