id,device_id,temperature,date
245469,12,20.5,2017-06-01 00:00:00
245470,12,20.9,2017-06-01 01:00:00
245471,12,21.3,2017-06-01 02:00:00
245472,12,20.1,2017-06-01 03:00:00
245473,12,19.3,2017-06-01 04:00:00
245474,12,20.3,2017-06-01 05:00:00
245475,12,22,2017-06-01 06:00:00
245476,12,22,2017-06-01 07:00:00
245477,12,24,2017-06-01 08:00:00
245478,12,26,2017-06-01 09:00:00
245479,12,26,2017-06-01 10:00:00
245480,12,26.7,2017-06-01 11:00:00
245481,12,27.3,2017-06-01 12:00:00
245482,12,28.2,2017-06-01 13:00:00
245483,12,29,2017-06-01 14:00:00
245484,12,29.3,2017-06-01 15:00:00
245485,12,28.7,2017-06-01 16:00:00
245486,12,27.3,2017-06-01 17:00:00
245487,12,27.3,2017-06-01 18:00:00
245488,12,25.3,2017-06-01 19:00:00
245489,12,24.7,2017-06-01 20:00:00
245490,12,22.5,2017-06-01 21:00:00
245491,12,21.3,2017-06-01 22:00:00
245492,12,20.3,2017-06-01 23:00:00
245493,12,19.8,2017-06-02 00:00:00
245495,12,20.3,2017-06-03 00:00:00
245496,12,20.3,2017-06-03 01:00:00
245497,12,18.3,2017-06-03 02:00:00
245498,12,18.3,2017-06-03 03:00:00
245499,12,18.3,2017-06-03 04:00:00
245500,12,20.3,2017-06-03 05:00:00
245501,12,21,2017-06-03 06:00:00
245502,12,23,2017-06-03 07:00:00
245503,12,25,2017-06-03 08:00:00
245504,12,27,2017-06-03 09:00:00
245505,12,27,2017-06-03 10:00:00
245506,12,28,2017-06-03 11:00:00
245507,12,29,2017-06-03 12:00:00
245508,12,30,2017-06-03 13:00:00
245509,12,31,2017-06-03 14:00:00
245510,12,29.9,2017-06-03 15:00:00
245511,12,28.3,2017-06-03 16:00:00
245512,12,28.7,2017-06-03 17:00:00
245513,12,29.1,2017-06-03 18:00:00
245514,12,26.9,2017-06-03 19:00:00
245515,12,25.5,2017-06-03 20:00:00
245516,12,23.1,2017-06-03 21:00:00
245517,12,22.7,2017-06-03 22:00:00
245518,12,22.5,2017-06-03 23:00:00
245519,12,22.1,2017-06-04 00:00:00
249265,12,4.3,2018-03-20 00:00:00
245521,12,19.9,2017-06-05 00:00:00
245522,12,19.9,2017-06-05 01:00:00
245523,12,19.9,2017-06-05 02:00:00
245524,12,19.9,2017-06-05 03:00:00
245525,12,19.3,2017-06-05 04:00:00
245526,12,19.3,2017-06-05 05:00:00
245527,12,20.1,2017-06-05 06:00:00
245528,12,21.7,2017-06-05 07:00:00
245529,12,23.3,2017-06-05 08:00:00
245530,12,24,2017-06-05 09:00:00
245531,12,24.5,2017-06-05 10:00:00
245532,12,25.9,2017-06-05 11:00:00
245533,12,26.5,2017-06-05 12:00:00
245534,12,26.3,2017-06-05 13:00:00
245535,12,27.7,2017-06-05 14:00:00
245536,12,27.3,2017-06-05 15:00:00
245537,12,26.7,2017-06-05 16:00:00
245538,12,26.3,2017-06-05 17:00:00
245539,12,25.3,2017-06-05 18:00:00
245540,12,24.7,2017-06-05 19:00:00
245541,12,22.3,2017-06-05 20:00:00
245542,12,21.3,2017-06-05 21:00:00
245543,12,20.7,2017-06-05 22:00:00
245544,12,20.3,2017-06-05 23:00:00
245545,12,19.5,2017-06-06 00:00:00
249266,12,4.3,2018-03-20 01:00:00
245547,12,18.1,2017-06-07 00:00:00
245548,12,17.9,2017-06-07 01:00:00
245549,12,16.7,2017-06-07 02:00:00
245550,12,16.3,2017-06-07 03:00:00
245551,12,16.3,2017-06-07 04:00:00
245552,12,17.1,2017-06-07 05:00:00
245553,12,18,2017-06-07 06:00:00
245554,12,21.1,2017-06-07 07:00:00
